,Date,CPI_Index
125,2020-06-01,0.581270975904749
126,2020-07-01,0.933335907356692
127,2020-08-01,1.2645065613625
128,2020-09-01,1.33200377255831
129,2020-10-01,1.13098154857115
130,2020-11-01,1.12215505546534
131,2020-12-01,1.3230121039743
132,2021-01-01,1.36591488479871
133,2021-02-01,1.63014395317607
134,2021-03-01,2.55488711871961
135,2021-04-01,4.09116867895537
136,2021-05-01,4.92631222194243
137,2021-06-01,5.30807697794924
138,2021-07-01,5.26308885291013
139,2021-08-01,5.17385680611682
140,2021-09-01,5.33181296198849
141,2021-10-01,6.16898055300028
142,2021-11-01,6.75629080323472
143,2021-12-01,6.985817076328
144,2022-01-01,7.43108932815226
145,2022-02-01,7.83141852225068
146,2022-03-01,8.45952431506985
147,2022-04-01,8.19661145805967
148,2022-05-01,8.51989574657224
149,2022-06-01,8.96837147989759
150,2022-07-01,8.46172172057939
151,2022-08-01,8.214989378576
152,2022-09-01,8.18910841290281
153,2022-10-01,7.74669157814687
154,2022-11-01,7.12834438533917
155,2022-12-01,6.51667354017638
156,2023-01-01,6.33166705649165
157,2023-02-01,5.90444999990735
158,2023-03-01,4.85345472001022
159,2023-04-01,4.87205972318956
160,2023-05-01,3.99367758171464
161,2023-06-01,2.9715878318128
162,2023-07-01,3.16070891227286
